id,x_minimo,x_maximo,y_minimo,y_maximo,peso_da_placa,area_pixels,perimetro_x,perimetro_y,soma_da_luminosidade,maximo_da_luminosidade,comprimento_do_transportador,tipo_do_aço_A300,tipo_do_aço_A400,espessura_da_chapa_de_aço,temperatura,index_de_bordas,index_vazio,index_quadrado,index_externo_x,indice_de_bordas_x,indice_de_bordas_y,indice_de_variacao_x,indice_de_variacao_y,indice_global_externo,log_das_areas,log_indice_x,log_indice_y,indice_de_orientaçao,indice_de_luminosidade,sigmoide_das_areas,minimo_da_luminosidade,falha_1,falha_2,falha_3,falha_4,falha_5,falha_6,falha_outros
19,828,-186.0,21571832,2451296,100,67,13,-194,8107.0,134.0,-214,Não,sim,40.0,79.77175244144762,0.76,0.3232,0.8182,0.0067,0.6923,1.0,-0.4229931243819694,-0.5439226424653265,1.0,1.8261,0.9542,1.0414,0.1818,,0.2051,112,False,False,False,False,não,True,Não
20,205,228.0,1094338,1094348,100,74,32,12,9115.0,141.0,1366,sim,não,69.0,75.6553531020835,0.3002,0.6783,0.4348,0.0168,0.7188,0.8333,0.4396946306764662,0.4396946306764662,0.0,1.8692,1.3617,1.0,-0.5652,-0.0377,0.3819,110,False,False,False,False,Não,False,Sim
21,41,218.0,2698232,2698294,100,6327,275,148,660291.0,126.0,1358,Não,sim,40.0,95.62086852075427,0.0604,0.4235,0.3503,0.1303,0.6436,0.4189,-0.06773289014596069,0.9322671098540393,0.0,3.8012,2.248,1.7924,-0.6497,-0.1847,1.0,40,False,False,True,False,não,False,Não
22,142,155.0,1723382,-166,100,60,20,11,6260.0,117.0,1360,Sim,Não,70.0,79.72967823992063,0.2088,0.5385,0.7692,0.0096,0.65,0.9091,0.15155712748669936,0.2996227066064593,0.0,1.7781,1.1139,1.0,-0.2308,-0.1849,0.2408,96,False,True,False,False,não,False,Não
23,81,216.0,425023,425176,100,5027,748,403,611544.0,143.0,1358,sim,não,70.0,48.63055589367991,0.1193,0.7566,0.8824,0.0994,0.1805,0.3796,0.572575544135963,-0.42742445586403705,1.0,3.7013,2.1303,2.1847,0.1177,-0.0496,1.0,93,False,True,False,False,não,False,Não
24,932,943.0,3020344,3020360,100,128,12,16,13996.0,126.0,1687,não,Sim,50.0,75.57437737692423,0.882,0.2727,0.6875,0.0065,0.9167,1.0,-0.1633148173575548,-0.1633148173575548,1.0,2.1072,1.0414,1.2041,0.3125,-0.1458,0.3012,88,False,False,False,False,Não,True,Não
25,-11,308.0,1323717,1323745,100,222,25,-194,25660.0,125.0,1358,Sim,Não,70.0,100.71174883475936,0.433,0.4337,,0.0103,0.56,0.9655,1.0332767769129598,0.03327677691295983,1.0,2.3463,1.1461,1.4472,0.5,-0.097,0.6453,104,False,True,False,False,Não,False,Não
26,4174,817.0,151240,151265,100,-206,32,25,16759.0,134.0,1372,Não,Sim,-154.0,68.8295733923845,0.809,0.5908,0.52,0.0095,0.4063,1.0,-0.3452980732266908,-0.3452980732266908,1.0,2.1239,1.1139,1.3979,0.48,-0.0156,0.5378,114,False,False,False,False,Não,False,Sim
27,1578,1592.0,178458,178484,100,168,36,29,18671.0,124.0,1692,Não,sim,300.0,92.17536135788937,0.1182,0.5385,0.5385,0.0083,0.3889,0.8965,0.11270940550370158,0.11270940550370158,1.0,2.2253,1.1461,1.415,0.4615,-0.1317,0.6015,99,False,False,False,False,não,False,Sim
28,275,299.0,1133715,1133734,100,318,39,32,39911.0,140.0,1364,não,Sim,40.0,90.42471058957081,0.4032,0.3026,0.7917,0.0176,0.6154,0.5938,-0.1801916069756415,-0.1801916069756415,0.0,2.5024,1.3802,1.2787,-0.2083,-0.0195,0.7359,116,False,False,False,False,Não,False,Sim
29,251,-186.0,961360,961371,100,67,11,11,7550.0,125.0,1364,sim,não,70.0,77.44115374613213,0.368,0.3232,0.8182,0.0066,0.8182,1.0,0.26022987431958494,0.45917426865623173,1.0,1.8261,0.9542,1.0414,0.1818,-0.1196,0.2051,99,False,False,False,False,não,True,Não
30,4579,630.0,2113679,-166,100,926,113,146,98616.0,126.0,1364,Não,Sim,-154.0,81.89099546411043,0.9076,0.4194,0.0759,0.0081,0.0974,0.9931,-0.18051198366881907,-0.18051198366881907,1.0,2.9666,1.0414,2.1614,0.9241,-0.168,0.9998,92,False,False,False,False,Sim,False,Não
31,284,357.0,2286293,2286298,100,-206,73,17,24816.0,134.0,-214,Não,sim,40.0,79.30337415672844,0.4177,0.4466,0.0685,0.0537,1.0,0.2941,0.5556834553526813,0.5556834553526813,0.0,2.3054,1.8633,0.699,-0.9315,-0.0402,0.6031,116,False,False,False,False,Não,False,Sim
32,2874,422.0,289647,289665,100,355,-229,58,46882.0,143.0,1360,Não,,-154.0,74.7267412197261,0.5397,0.6414,0.3273,0.0404,0.4741,0.3103,0.15748745452330223,0.3083295164528233,,2.5502,1.7404,1.2553,-0.6727,0.0317,0.9899,123,False,False,False,False,Não,False,Sim
33,39,212.0,862475,862693,100,-206,794,495,,142.0,1400,Não,sim,40.0,73.31462940638613,0.0557,0.5398,0.7936,0.1236,0.2179,0.4404,0.14689912693730645,0.29278390584597797,1.0,4.2395,2.238,2.3385,0.2064,-0.0843,1.0,975,False,False,True,False,não,False,Não
34,-11,357.0,1747625,1747660,100,314,84,50,38597.0,140.0,1356,1,Não,70.0,94.20667034153632,0.4749,0.7437,,0.0258,0.4167,0.7,1.2467634736309567,0.2467634736309567,0.5,2.4969,1.5441,1.5441,0.0,-0.0397,0.9979,110,False,True,False,False,não,False,Não
35,507,517.0,399348,399363,100,-206,10,15,11910.0,123.0,1687,Sim,não,80.0,78.26504818943546,0.6011,0.2267,0.6667,0.0059,1.0,1.0,-0.36625309499130665,-0.36625309499130665,1.0,2.0645,1.0,1.1761,0.3333,-0.1979,0.266,992,False,False,False,False,não,False,Sim
36,1126,1134.0,16578476,2636459,100,59,11,10,6936.0,135.0,1656,Sim,não,100.0,72.27997959617502,0.6304,0.2625,0.8,0.0048,0.7273,1.0,0.06265907850142662,0.06265907850142662,1.0,1.7708,0.9031,1.0,0.2,-0.0816,0.1852,102,False,False,False,False,não,False,Sim
37,98,168.0,3687004,395722,100,8035,-229,214,782154.0,134.0,1360,não,sim,200.0,85.49179965549206,0.1441,0.4289,0.3483,0.0515,0.3704,0.9392,-0.5879010371639326,-0.5879010371639326,1.0,3.905,1.8451,2.3032,0.6517,-0.2395,1.0,80,False,False,False,False,não,False,Sim
38,85,96.0,1398904,1398914,100,61,-229,11,6834.0,124.0,1358,sim,Não,70.0,84.26459618129469,0.1252,0.4455,0.9091,0.0081,0.9167,0.9091,0.6015441853304708,-0.3984558146695291,0.0,1.7853,1.0414,1.0,-0.0909,-0.1247,0.2173,102,False,y,False,False,Não,False,Não
39,41,232.0,844714,844903,100,-206,755,497,,141.0,1400,Não,sim,40.0,65.07989056909798,0.0586,0.4373,0.9895,0.1364,0.253,0.3803,0.059058370760737056,1.059058370760737,0.0,4.3078,2.281,2.2765,-0.0105,-0.0767,1.0,23,False,False,True,False,não,False,Não
40,1335,1668.0,2191536,2191539,100,795,333,-194,95390.0,167.0,1692,sim,não,70.0,73.558061433024,0.0284,0.2042,0.009,0.1968,1.0,0.0484,0.22153997399862313,0.22153997399862313,0.0,2.9004,2.5224,0.4771,-0.991,-0.0626,0.9905,77,False,False,False,False,não,False,Sim
41,74,80.0,16673887,2615309,100,62,13,14,6764.0,126.0,1358,Sim,Não,70.0,63.01201622927742,0.109,0.2619,0.4286,0.0044,0.4615,1.0,0.051410484356991144,0.051410484356991144,1.0,1.7924,0.7782,1.1461,0.5714,-0.1477,0.1892,97,False,False,False,False,Não,False,Sim
42,1365,1374.0,4174907,4174926,100,115,9,19,9441.0,109.0,1387,Não,Sim,50.0,105.50128981753389,0.0188,0.3275,0.4737,0.0065,1.0,1.0,0.0702237158251202,0.18021031246317273,1.0,2.0607,0.9542,1.2787,0.5263,-0.3586,0.2942,44,0,False,False,False,Não,False,Sim
43,4,17.0,2445033,2445050,100,-206,19,-194,5940.0,77.0,1358,sim,não,70.0,76.3726227453649,0.0059,0.5611,0.7647,0.0096,0.6842,1.0,0.15297569099423208,0.301705418510684,1.0,1.9868,1.1139,1.2305,0.2353,,0.3678,47,False,True,False,False,não,False,Não
44,6681,832.0,928256,928264,100,53,9,-194,9033.0,181.0,1387,Não,Sim,-154.0,73.23208827172523,0.8003,0.1719,1.0,0.0058,0.8889,1.0,-0.4435565971102282,0.5564434028897718,0.5,1.7243,0.9031,0.9031,0.0,0.3315,0.1696,1239,False,False,True,False,não,False,Não
45,-11,1619.0,1671950,1671963,100,69,10,14,5361.0,93.0,1656,Sim,Não,80.0,74.99832755720224,0.0447,0.3365,0.6154,0.0048,0.8,0.9286,-0.2159532625184126,-0.2159532625184126,1.0,1.8389,0.9031,1.1139,0.3846,-0.393,0.2105,63,nao,False,False,False,Não,False,Sim
46,41,58.0,8055612,997556,100,128,38,27,16028.0,134.0,1400,Não,sim,40.0,72.45810440911295,0.0586,0.4622,0.8235,0.0121,0.4474,0.5185,-0.13819163128793624,0.8618083687120638,0.0,2.1072,1.2305,1.1461,-0.1765,-0.0217,0.3945,120,False,False,True,False,Não,False,Não
47,41,189.0,1853169,-166,100,10880,649,409,1245114.0,141.0,1400,Não,Sim,40.0,78.16968340158074,0.0586,0.5676,0.8706,0.1057,0.228,0.4157,0.18460571617333568,0.34814410780562,1.0,4.0366,2.1703,2.2304,0.1294,-0.1059,1.0,33,0,False,True,False,Não,False,Não
48,41,209.0,4639210,4639275,100,5828,296,169,618846.0,,-214,não,Sim,40.0,92.35086322270831,0.0604,0.4663,0.3869,0.1237,0.5676,0.3846,0.10308548687053842,1.1030854868705384,0.0,3.7655,2.2253,1.8129,-0.6131,-0.1704,1.0,48,False,False,True,False,não,False,Não
49,61,213.0,7783272,-166,100,-206,157,95,417036.0,127.0,1362,não,Sim,40.0,80.97340384351322,0.0896,0.4759,0.3158,0.1116,0.9682,0.5053,-0.5289120466088202,0.4710879533911798,0.0,3.5825,2.1818,1.6812,-0.6842,-0.148,1.0,784,False,False,True,False,Não,False,Não
50,155,187.0,-20,673281,100,129,50,25,16937.0,141.0,-214,não,1,50.0,66.12397682772206,0.2289,0.6335,0.3438,0.0236,0.64,0.44,-0.5263958158012503,-0.6957367947427802,0.0,2.1106,1.5051,1.0414,-0.6563,0.0257,0.5822,123,False,False,False,False,Não,False,Sim
51,3888,734.0,684933,685134,100,16521,926,591,1992604.0,149.0,1400,não,sim,-154.0,68.52007104995957,0.0557,0.8817,0.2892,0.4964,0.7505,0.3401,-0.11552468412489496,0.8844753158751051,,4.218,2.842,2.3032,-0.7108,-0.0577,1.0,21,False,False,True,False,não,False,Não
52,3616,655.0,5303273,5303295,100,336,30,25,35912.0,127.0,1362,Não,1,-154.0,81.74604664183391,0.931,0.2727,0.9546,0.0154,0.7,0.88,-0.2030766000917876,-0.2030766000917876,1.0,2.5263,1.3222,1.3424,0.0454,-0.165,0.7436,79,False,False,False,nao,não,True,Não
53,-11,1360.0,4807459,-166,100,135,12,-194,13096.0,109.0,1387,Não,sim,50.0,71.67421868612475,0.0389,0.25,0.45,0.0065,0.75,0.9524,0.02805582420799107,0.11830009879935004,1.0,2.1303,0.9542,1.301,0.55,-0.2421,0.3068,838,False,False,False,False,Não,True,Não
54,436,453.0,9983054,1120571,100,369,18,34,41469.0,148.0,-214,Não,Sim,150.0,78.09181294667687,0.5169,0.3616,0.5,0.0101,0.9444,1.0,0.3092998567487853,0.3092998567487853,1.0,2.567,1.2305,1.5315,0.5,-0.122,0.8627,52,False,False,False,False,não,False,Sim
55,1644,1661.0,1554711,1554760,100,468,-229,54,41524.0,101.0,1692,Sim,,70.0,106.45701587583306,0.0366,0.4382,0.3469,0.01,0.2429,0.9074,0.27938403573485954,0.27938403573485954,1.0,2.6702,1.2305,1.6902,0.6531,-0.3068,0.9718,80,False,False,False,False,Não,False,Sim
56,39,178.0,21748360,2627391,100,7998,558,-194,889727.0,140.0,1400,Não,sim,40.0,69.94295263376573,0.0557,0.6448,0.858,0.0993,0.2491,0.4723,-0.25176525696679153,0.7482347430332085,1.0,3.903,2.143,2.2095,0.142,-0.1309,1.0,49,False,False,True,False,Não,False,Não
57,6,14.0,393457,393488,100,196,11,31,22532.0,134.0,1687,Não,sim,200.0,65.53802919788487,0.0071,0.2097,0.2581,0.0047,0.7273,1.0,-0.09276371275536437,-0.09276371275536437,1.0,2.2923,0.9031,1.4914,0.7419,-0.1019,0.4106,97,False,False,False,False,Não,False,Sim
58,185,199.0,387402,387414,100,75,23,12,8535.0,127.0,1356,Sim,não,70.0,72.5973357586067,0.2729,0.5536,0.8571,0.0103,0.6087,1.0,1.0993790294210692,0.09937902942106919,0.0,1.8751,1.1461,1.0792,-0.1429,-0.1109,0.2901,104,False,True,False,False,Não,False,Não
59,253,265.0,220228,220253,100,200,30,-194,18651.0,108.0,1692,Não,Sim,300.0,62.00828046184159,0.2991,0.3333,0.48,0.0071,0.4,1.0,0.29266353813670776,0.29266353813670776,1.0,2.301,1.0792,1.3979,0.52,-0.2715,0.4963,66,False,False,False,False,Não,False,Sim
60,10,21.0,-20,204953,100,135,16,23,8781.0,86.0,1356,sim,0,70.0,92.86104027802098,0.0148,0.3864,0.55,0.0081,0.6875,0.8696,0.856247728646413,-0.14375227135358698,1.0,2.1303,1.0414,1.301,0.45,-0.4918,0.3663,46,False,True,False,False,Não,False,Não
61,69,81.0,-20,2001794,100,119,20,18,11516.0,117.0,-214,Sim,Não,70.0,68.40701561857192,0.1021,0.4491,0.6667,0.0089,0.6,1.0,0.9443023070008548,-0.055697692999145135,1.0,2.0756,1.0792,1.2553,0.3333,-0.244,0.3601,84,False,True,False,False,Não,False,Não
62,39,173.0,2616577,2616725,100,8344,558,338,945879.0,141.0,1400,não,S,40.0,70.26035093490371,0.0557,0.5793,0.9054,0.0957,0.2401,0.4379,-0.33190049220180845,0.6680995077981915,1.0,3.9214,2.1271,2.1703,0.0946,-0.1144,1.0,52,False,False,True,False,Não,False,Não
63,6808,976.0,2690125,2690135,100,67,-229,-194,6947.0,119.0,1690,sim,não,-154.0,66.66569782853588,0.845,0.2556,0.9,0.0053,0.6923,1.0,-0.3588619872242012,-0.3588619872242012,1.0,1.8261,0.9542,1.0,0.1,-0.19,0.1954,84,False,False,False,False,não,True,Não
64,22,31.0,-20,2097270,100,60,15,13,5573.0,103.0,1354,1,Não,70.0,63.083451004334236,0.0325,0.4872,0.6923,0.0066,0.6,1.0,1.2437577467182594,0.2437577467182594,1.0,1.7781,0.9542,1.1139,0.3077,-0.2743,0.2253,81,False,True,False,nao,Não,False,Não
65,1129,1137.0,1207379,1207406,100,101,27,27,11776.0,133.0,1694,Não,sim,70.0,79.45148901154481,0.6576,0.5324,0.2963,0.0047,0.2963,1.0,0.4068720085712469,0.4068720085712469,1.0,2.0043,0.9031,1.4314,0.7037,-0.0891,0.3601,104,False,False,False,False,Não,False,Sim
66,990,-186.0,1973168,1973176,100,59,8,8,6543.0,122.0,1622,sim,Não,70.0,72.48832068910227,0.7694,0.0781,1.0,0.0049,1.0,1.0,-0.021603036474100154,-0.021603036474100154,0.5,1.7708,0.9031,0.9031,0.0,-0.1336,0.1696,93,False,False,False,False,Não,True,Não
67,1287,1302.0,3204829,3204845,100,191,17,16,20590.0,133.0,1627,Não,sim,40.0,61.95307743833546,0.3995,0.2042,0.9375,0.0092,0.8824,1.0,0.30105986936760726,0.30105986936760726,1.0,2.281,1.1761,1.2041,0.0625,-0.1578,0.3977,67,False,False,False,False,Não,False,Sim
68,615,623.0,-20,2197376,100,111,21,24,12919.0,127.0,1366,Não,Sim,100.0,76.27784414390405,0.9004,0.4219,0.3333,0.0059,0.381,1.0,0.10849080751429024,0.10849080751429024,1.0,2.0453,0.9031,1.3802,0.6667,-0.0907,0.3241,106,False,False,False,False,Sim,False,Não
69,63,92.0,-20,-166,100,58,29,10,7618.0,165.0,1690,sim,nao,70.0,83.65660841574689,0.0746,0.3333,0.1035,0.0172,1.0,0.3,-0.19353592638153727,-0.19353592638153727,0.0,1.7634,1.4624,0.4771,-0.8965,0.0261,0.1923,100,False,False,False,False,Não,False,Sim
70,3170,373.0,929482,929513,100,213,42,39,20512.0,118.0,1374,0,Sim,-154.0,75.58014014453663,0.5196,0.5706,0.5161,0.0116,0.381,0.7949,0.10841868165252418,0.10841868165252418,1.0,2.3284,1.2041,1.4914,0.4839,-0.2476,0.7844,80,False,False,False,False,Não,False,Sim
71,-11,149.0,356611,356625,100,170,39,20,22467.0,141.0,1362,não,Sim,100.0,85.99281447473346,0.1836,0.494,0.5833,0.0176,0.6154,0.7,0.08907211720826708,0.2078832292750273,0.0,2.2304,1.3802,1.1461,-0.4167,0.0325,0.556,123,False,False,False,False,Não,True,Não
72,1215,1232.0,1545468,1545486,100,184,-229,22,22708.0,135.0,1628,não,sim,120.0,96.98536107727782,0.4865,0.3987,0.9444,0.0104,0.4048,0.8182,-0.010747811732985462,-0.010747811732985462,1.0,2.2648,1.2305,1.2553,0.0556,-0.0358,0.5063,115,False,False,False,False,Não,True,Não
73,1134,1145.0,5798193,5798213,100,143,20,21,16538.0,134.0,1362,Não,sim,40.0,88.1449479325066,0.3187,0.35,0.55,0.0081,0.55,0.9524,0.4693930967442018,0.4693930967442018,1.0,2.1553,1.0414,1.301,0.45,-0.0965,0.3663,104,False,False,False,False,não,True,Não
74,39,218.0,965451,965599,100,16821,670,425,1972773.0,141.0,1398,Não,Sim,40.0,82.15851695602154,0.0558,0.365,0.8268,0.128,0.2672,0.3482,-0.7859235312269233,0.21407646877307673,0.0,4.2259,2.2529,2.1703,-0.1732,-0.0838,1.0,29,False,False,True,False,não,False,Não
75,-11,864.0,519257,519266,100,57,10,-194,9848.0,183.0,1387,não,sim,40.0,88.12194125453792,0.7541,0.2083,0.8889,0.0058,0.8,0.8182,0.24657075131256714,1.2465707513125672,1.0,1.7559,0.9031,0.9542,0.1111,0.3498,0.1773,161,False,False,True,False,Não,False,Não
76,6032,1047.0,603596,603608,100,80,12,12,9136.0,133.0,1358,não,Sim,-154.0,102.27112889501535,0.458,0.2593,0.75,0.0066,0.75,1.0,-0.3728541480157819,-0.4703094116237094,1.0,1.9031,0.9542,1.0792,0.25,-0.1078,0.215,100,False,False,False,False,Não,True,Não
77,-11,219.0,1704636,1704704,100,6625,351,173,686356.0,124.0,1358,Não,sim,40.0,65.58752017559146,0.0604,0.4527,0.382,0.1311,0.5071,0.3931,-0.08970220513976024,0.9102977948602398,0.0,3.8212,2.2504,1.8325,-0.618,-0.1906,1.0,951,False,False,True,False,Não,False,Não
78,1116,1151.0,4387848,4387862,100,175,53,32,20658.0,134.0,1364,sim,não,80.0,86.32718906318948,0.3123,0.6429,0.4,0.0257,0.6604,0.4375,0.027528232960650687,0.027528232960650687,0.0,2.243,1.5441,1.1461,-0.6,-0.0778,0.7776,104,False,False,False,False,não,True,Não
79,1312,1322.0,35038393,4118372,100,77,15,14,8558.0,119.0,-214,não,Sim,40.0,70.0304787957704,0.0415,0.45,0.7143,0.0074,0.6667,1.0,-0.5962706743802678,-0.5962706743802678,1.0,1.8865,1.0,1.1461,0.2857,-0.1317,0.2532,104,False,False,False,False,Não,True,Não
80,1250,153.0,310621,310797,100,-206,365,268,287273.0,143.0,1394,Não,Sim,-154.0,82.41716794067518,0.1621,0.676,0.2273,0.0287,0.1096,0.6567,0.36524204438642827,0.6133514313460314,1.0,3.3581,1.6021,2.2455,0.7727,-0.0161,1.0,113,False,False,False,False,Não,False,Sim
81,63,82.0,287835,287869,100,400,49,42,35427.0,101.0,1356,Sim,não,70.0,66.7791532788509,0.0929,0.3808,0.5588,0.014,0.3878,0.8095,1.1071337714535239,0.10713377145352392,1.0,2.6021,1.2787,1.5315,0.4412,-0.3081,0.9082,78,False,True,False,False,Não,False,Não
82,39,-186.0,409491,409539,100,3920,-229,88,407163.0,125.0,1360,Não,Sim,40.0,87.55897736055724,0.0573,0.3995,0.3529,0.1,0.8193,0.5454,0.4433682134224548,1.4433682134224548,0.0,3.5933,2.1335,1.6812,-0.6471,-0.1885,1.0,45,False,False,True,False,não,False,Não
83,449,549.0,2212600,2212608,100,368,110,35,43968.0,133.0,1356,não,sim,40.0,82.79924690604828,0.6622,0.54,0.08,0.0737,0.9091,0.2286,-0.1554810654820942,-0.1554810654820942,0.0,2.5659,2.0,0.9031,-0.92,-0.0666,0.965,111,0,False,False,False,Não,False,Sim
84,1111,1130.0,2527319,2527390,100,747,62,72,76627.0,127.0,1280,Sim,não,100.0,94.99502369164199,0.2344,0.4463,0.2676,0.0148,0.3065,0.9861,-0.24254808086795626,-0.24254808086795626,1.0,2.8733,1.2787,1.8513,0.7324,-0.1986,0.9991,85,False,False,False,False,Não,False,Sim
85,25,34.0,2588285,281513,100,891,36,155,76438.0,103.0,1353,Não,Sim,185.0,77.28726987002976,0.0369,0.3613,0.0581,0.0066,0.25,1.0,-0.15052711307536096,-0.15052711307536096,1.0,2.9499,0.9542,2.1903,0.9419,-0.3298,0.9993,70,False,False,False,False,Não,False,Sim
