ORDEM,QUANTIDADE,PRECOINDIVIDUAL,VENDAS,DATAPEDIDO,STATUS,LINHAPRODUTOS,CODIGOPRODUTO,PAIS
10411,27,100,"4427,73",5/1/2005,Shipped,Classic Cars,S10_4962,Canada
10425,38,100,"5894,94",5/31/2005,In Process,Classic Cars,S10_4962,France
10108,33,100,"5265,15",3/3/2003,Shipped,Classic Cars,S12_1099,Philippines
10122,42,100,"7599,9",5/8/2003,Shipped,Classic Cars,S12_1099,France
10135,42,100,"8008,56",7/2/2003,Shipped,Classic Cars,S12_1099,USA
10147,48,100,"9245,76",9/5/2003,Shipped,Classic Cars,S12_1099,USA
10159,41,100,"8296,35",10/10/2003,Shipped,Classic Cars,S12_1099,USA
10169,30,100,"5019,9",11/4/2003,Shipped,Classic Cars,S12_1099,Australia
10181,27,100,"5411,07",11/12/2003,Shipped,Classic Cars,S12_1099,Norway
10191,21,100,"3840,9",11/20/2003,Shipped,Classic Cars,S12_1099,Germany
10203,20,100,"3930,4",12/2/2003,Shipped,Classic Cars,S12_1099,Spain
10211,41,100,"7498,9",1/15/2004,Shipped,Classic Cars,S12_1099,France
10225,27,100,"4517,91",2/22/2004,Shipped,Classic Cars,S12_1099,Switzerland
10238,28,100,"5774,72",4/9/2004,Shipped,Classic Cars,S12_1099,Denmark
10253,24,100,"3922,56",6/1/2004,Cancelled,Classic Cars,S12_1099,UK
10266,44,100,"9160,36",7/6/2004,Shipped,Classic Cars,S12_1099,Italy
10276,50,100,9631,8/2/2004,Shipped,Classic Cars,S12_1099,USA
10287,21,100,"3432,24",8/30/2004,Shipped,Classic Cars,S12_1099,Switzerland
10300,33,100,"5521,89",10/4/2003,Shipped,Classic Cars,S12_1099,Germany
10310,33,100,"6934,62",10/16/2004,Shipped,Classic Cars,S12_1099,Germany
10320,31,100,"6876,11",11/3/2004,Shipped,Classic Cars,S12_1099,Sweden
10329,41,"71,47","2930,27",11/15/2004,Shipped,Classic Cars,S12_1099,USA
10341,45,"79,65","3584,25",11/24/2004,Shipped,Classic Cars,S12_1099,Austria
10363,33,"85,39","2817,87",1/6/2005,Shipped,Classic Cars,S12_1099,Finland
10375,45,76,3420,2/3/2005,Shipped,Classic Cars,S12_1099,France
10389,26,"99,04","2575,04",3/3/2005,Shipped,Classic Cars,S12_1099,Sweden
10419,12,100,"1961,28",5/17/2005,Shipped,Classic Cars,S12_1099,Austria
10105,41,100,"8690,36",2/11/2003,Shipped,Classic Cars,S12_1108,Denmark
10117,33,100,"6034,38",4/16/2003,Shipped,Classic Cars,S12_1108,Singapore
10127,46,100,"11279,2",6/3/2003,Shipped,Classic Cars,S12_1108,USA
10142,33,100,"8023,29",8/8/2003,Shipped,Classic Cars,S12_1108,USA
10153,20,100,4904,9/28/2003,Shipped,Classic Cars,S12_1108,Spain
10165,44,100,"8594,52",10/22/2003,Shipped,Classic Cars,S12_1108,Singapore
10176,33,100,"7474,5",11/6/2003,Shipped,Classic Cars,S12_1108,Italy
10185,21,100,"3883,74",11/14/2003,Shipped,Classic Cars,S12_1108,USA
10196,47,100,"8887,7",11/26/2003,Shipped,Classic Cars,S12_1108,USA
10208,46,100,"8602,92",1/2/2004,Shipped,Classic Cars,S12_1108,France
10220,32,100,"7181,44",2/12/2004,Shipped,Classic Cars,S12_1108,Ireland
10231,42,100,"8378,58",3/19/2004,Shipped,Classic Cars,S12_1108,Spain
10247,44,100,"10606,2",5/5/2004,Shipped,Classic Cars,S12_1108,Finland
10272,35,100,"5818,4",7/20/2004,Shipped,Classic Cars,S12_1108,USA
10282,41,100,"7071,27",8/20/2004,Shipped,Classic Cars,S12_1108,USA
10293,46,100,"8411,56",9/9/2004,Shipped,Classic Cars,S12_1108,Italy
10306,31,100,"6570,76",10/14/2004,Shipped,Classic Cars,S12_1108,UK
10314,38,100,"7975,44",10/22/2004,Shipped,Classic Cars,S12_1108,Denmark
10325,42,64,2688,11/5/2004,Shipped,Classic Cars,S12_1108,Norway
10336,33,"57,22","1888,26",11/20/2004,Shipped,Classic Cars,S12_1108,France
10348,48,"52,36","2513,28",11/1/2004,Shipped,Classic Cars,S12_1108,Spain
10359,42,100,"4764,48",12/15/2004,Shipped,Classic Cars,S12_1108,France
10371,32,100,"3560,64",1/23/2005,Shipped,Classic Cars,S12_1108,USA
10382,34,100,"3823,64",2/17/2005,Shipped,Classic Cars,S12_1108,USA
10395,33,"69,12","2280,96",3/17/2005,Shipped,Classic Cars,S12_1108,France
10413,36,100,"8677,8",5/5/2005,Shipped,Classic Cars,S12_1108,USA
10103,27,100,"3394,98",1/29/2003,Shipped,Trucks and Buses,S12_1666,Norway
10113,21,100,"3415,44",3/26/2003,Shipped,Trucks and Buses,S12_1666,USA
10126,21,100,"2439,57",5/28/2003,Shipped,Trucks and Buses,S12_1666,Spain
10140,38,100,"4829,8",7/24/2003,Shipped,Trucks and Buses,S12_1666,USA
10150,30,100,"4100,1",9/19/2003,Shipped,Trucks and Buses,S12_1666,Singapore
10164,49,100,"6563,06",10/21/2003,Resolved,Trucks and Buses,S12_1666,Austria
10174,43,100,"6817,22",11/6/2003,Shipped,Trucks and Buses,S12_1666,Australia
10183,41,100,"6163,94",11/13/2003,Shipped,Trucks and Buses,S12_1666,USA
10194,38,100,"4933,92",11/25/2003,Shipped,Trucks and Buses,S12_1666,France
10206,28,100,"4056,36",12/5/2003,Shipped,Trucks and Buses,S12_1666,Canada
10216,43,100,"5759,42",2/2/2004,Shipped,Trucks and Buses,S12_1666,France
10229,25,100,3451,3/11/2004,Shipped,Trucks and Buses,S12_1666,USA
10245,38,100,"5920,4",5/4/2004,Shipped,Trucks and Buses,S12_1666,USA
10258,41,100,"6668,24",6/15/2004,Shipped,Trucks and Buses,S12_1666,Japan
10270,28,100,"4094,72",7/19/2004,Shipped,Trucks and Buses,S12_1666,Australia
10281,25,100,"2938,5",8/19/2004,Shipped,Trucks and Buses,S12_1666,USA
10291,41,100,"6387,8",9/8/2004,Shipped,Trucks and Buses,S12_1666,Sweden
10304,39,100,6396,10/11/2004,Shipped,Trucks and Buses,S12_1666,France
10313,21,100,"2669,1",10/22/2004,Shipped,Trucks and Buses,S12_1666,Canada
10322,27,100,"4784,13",11/4/2004,Shipped,Trucks and Buses,S12_1666,USA
10333,33,"99,21","3273,93",11/18/2004,Shipped,Trucks and Buses,S12_1666,USA
10347,29,100,"3586,43",11/29/2004,Shipped,Trucks and Buses,S12_1666,Australia
10357,49,100,"5960,36",12/10/2004,Shipped,Trucks and Buses,S12_1666,USA
10370,49,100,"8470,14",1/20/2005,Shipped,Trucks and Buses,S12_1666,Australia
10381,20,100,2952,2/17/2005,Shipped,Trucks and Buses,S12_1666,USA
10391,39,"63,2","2464,8",3/9/2005,Shipped,Trucks and Buses,S12_1666,Australia
10411,40,100,6232,5/1/2005,Shipped,Trucks and Buses,S12_1666,Canada
10424,49,100,"7969,36",5/31/2005,In Process,Trucks and Buses,S12_1666,Spain
10107,21,100,"3036,6",2/24/2003,Shipped,Motorcycles,S12_2823,USA
10121,50,100,8284,5/7/2003,Shipped,Motorcycles,S12_2823,France
10134,20,100,"2711,2",7/1/2003,Shipped,Motorcycles,S12_2823,France
10145,49,100,"8339,8",8/25/2003,Shipped,Motorcycles,S12_2823,USA
10159,38,100,"6238,84",10/10/2003,Shipped,Motorcycles,S12_2823,USA
10169,35,100,"4639,25",11/4/2003,Shipped,Motorcycles,S12_2823,Australia
10180,40,100,"6747,6",11/11/2003,Shipped,Motorcycles,S12_2823,France
10189,28,100,"4512,48",11/18/2003,Shipped,Motorcycles,S12_2823,USA
10201,25,100,4029,12/1/2003,Shipped,Motorcycles,S12_2823,USA
10211,36,100,"4771,8",1/15/2004,Shipped,Motorcycles,S12_2823,France
10224,43,100,"6087,94",2/21/2004,Shipped,Motorcycles,S12_2823,France
10237,32,100,"4193,28",4/5/2004,Shipped,Motorcycles,S12_2823,USA
10251,46,100,"7552,28",5/18/2004,Shipped,Motorcycles,S12_2823,USA
10263,48,100,"6434,4",6/28/2004,Shipped,Motorcycles,S12_2823,USA
10276,43,100,"5181,5",8/2/2004,Shipped,Motorcycles,S12_2823,USA
10285,49,100,"6863,92",8/27/2004,Shipped,Motorcycles,S12_2823,USA
10299,24,100,"4157,04",9/30/2004,Shipped,Motorcycles,S12_2823,Finland
10309,26,100,"4660,24",10/15/2004,Shipped,Motorcycles,S12_2823,Norway
10319,30,100,"4111,8",11/3/2004,Shipped,Motorcycles,S12_2823,USA
10329,24,100,"3542,64",11/15/2004,Shipped,Motorcycles,S12_2823,USA
10341,55,100,"8118,55",11/24/2004,Shipped,Motorcycles,S12_2823,Austria
10362,22,100,"3877,06",1/5/2005,Shipped,Motorcycles,S12_2823,USA
10375,49,"78,92","3867,08",2/3/2005,Shipped,Motorcycles,S12_2823,France
10388,44,100,"5951,44",3/3/2005,Shipped,Motorcycles,S12_2823,USA
10403,66,100,"8648,64",4/8/2005,Shipped,Motorcycles,S12_2823,UK
10417,21,100,"3447,78",5/13/2005,Disputed,Motorcycles,S12_2823,Spain
10104,34,100,"5958,5",1/31/2003,Shipped,Classic Cars,S12_3148,Spain
10117,43,100,"5911,64",4/16/2003,Shipped,Classic Cars,S12_3148,Singapore
10127,46,100,"7366,44",6/3/2003,Shipped,Classic Cars,S12_3148,USA
10142,33,100,"4985,64",8/8/2003,Shipped,Classic Cars,S12_3148,USA
10153,42,100,"5393,64",9/28/2003,Shipped,Classic Cars,S12_3148,Spain
10165,34,100,"4880,02",10/22/2003,Shipped,Classic Cars,S12_3148,Singapore
10176,47,100,"8378,69",11/6/2003,Shipped,Classic Cars,S12_3148,Italy
10185,33,100,"4038,21",11/14/2003,Shipped,Classic Cars,S12_3148,USA
10196,24,100,"3807,12",11/26/2003,Shipped,Classic Cars,S12_3148,USA
10208,26,100,"3142,36",1/2/2004,Shipped,Classic Cars,S12_3148,France
10220,30,100,"4713,6",2/12/2004,Shipped,Classic Cars,S12_3148,Ireland
10230,43,100,"7016,31",3/15/2004,Shipped,Classic Cars,S12_3148,Germany
10247,25,100,"4381,25",5/5/2004,Shipped,Classic Cars,S12_3148,Finland
10272,27,100,"4283,01",7/20/2004,Shipped,Classic Cars,S12_3148,USA
10282,27,100,"4364,82",8/20/2004,Shipped,Classic Cars,S12_3148,USA
10293,24,100,"4242,24",9/9/2004,Shipped,Classic Cars,S12_3148,Italy
10306,34,100,"4982,7",10/14/2004,Shipped,Classic Cars,S12_3148,UK
10314,46,100,"6393,54",10/22/2004,Shipped,Classic Cars,S12_3148,Denmark
10324,27,"54,33","1466,91",11/5/2004,Shipped,Classic Cars,S12_3148,USA
10336,33,100,"4059,33",11/20/2004,Shipped,Classic Cars,S12_3148,France
10348,47,100,"4801,52",11/1/2004,Shipped,Classic Cars,S12_3148,Spain
10358,49,"55,34","2711,66",12/10/2004,Shipped,Classic Cars,S12_3148,Spain
10372,40,100,5862,1/26/2005,Shipped,Classic Cars,S12_3148,Japan
10382,37,100,"4071,85",2/17/2005,Shipped,Classic Cars,S12_3148,USA
10413,47,100,"8236,75",5/5/2005,Shipped,Classic Cars,S12_3148,USA
10108,45,100,"6130,35",3/3/2003,Shipped,Classic Cars,S12_3380,Philippines
10122,37,"99,82","3693,34",5/8/2003,Shipped,Classic Cars,S12_3380,France
10135,48,100,"6031,68",7/2/2003,Shipped,Classic Cars,S12_3380,USA
10147,31,100,"3494,94",9/5/2003,Shipped,Classic Cars,S12_3380,USA
10160,46,100,"5294,14",10/11/2003,Shipped,Classic Cars,S12_3380,USA
10170,47,100,"5464,69",11/4/2003,Shipped,Classic Cars,S12_3380,Austria
10181,28,100,"2860,76",11/12/2003,Shipped,Classic Cars,S12_3380,Norway
10191,40,100,5590,11/20/2003,Shipped,Classic Cars,S12_3380,Germany
10203,20,100,"2254,8",12/2/2003,Shipped,Classic Cars,S12_3380,Spain
10212,39,100,"4946,76",1/16/2004,Shipped,Classic Cars,S12_3380,Spain
10225,25,"99,82","2495,5",2/22/2004,Shipped,Classic Cars,S12_3380,Switzerland
10238,29,100,"3167,38",4/9/2004,Shipped,Classic Cars,S12_3380,Denmark
10253,22,100,"2402,84",6/1/2004,Cancelled,Classic Cars,S12_3380,UK
10266,22,100,"2454,54",7/6/2004,Shipped,Classic Cars,S12_3380,Italy
10276,47,100,"5464,69",8/2/2004,Shipped,Classic Cars,S12_3380,USA
10287,45,100,"4756,5",8/30/2004,Shipped,Classic Cars,S12_3380,Switzerland
10300,29,100,"3984,6",10/4/2003,Shipped,Classic Cars,S12_3380,Germany
10310,24,100,"3100,32",10/16/2004,Shipped,Classic Cars,S12_3380,Germany
10320,35,100,"4850,3",11/3/2004,Shipped,Classic Cars,S12_3380,Sweden
10329,46,"83,63","3846,98",11/15/2004,Shipped,Classic Cars,S12_3380,USA
10341,44,"95,93","4220,92",11/24/2004,Shipped,Classic Cars,S12_3380,Austria
10363,34,"96,73","3288,82",1/6/2005,Shipped,Classic Cars,S12_3380,Finland
10376,35,100,"3987,2",2/8/2005,Shipped,Classic Cars,S12_3380,USA
10389,25,"72,38","1809,5",3/3/2005,Shipped,Classic Cars,S12_3380,Sweden
10419,10,100,"1092,2",5/17/2005,Shipped,Classic Cars,S12_3380,Austria
10105,29,100,"4566,05",2/11/2003,Shipped,Classic Cars,S12_3891,Denmark
10117,39,100,"5938,14",4/16/2003,Shipped,Classic Cars,S12_3891,Singapore
10127,42,100,"8138,76",6/3/2003,Shipped,Classic Cars,S12_3891,USA
10142,46,100,"9470,94",8/8/2003,Shipped,Classic Cars,S12_3891,USA
10153,49,100,"7036,89",9/28/2003,Shipped,Classic Cars,S12_3891,Spain
10165,27,100,"5559,03",10/22/2003,Shipped,Classic Cars,S12_3891,Singapore
10176,50,100,"7872,5",11/6/2003,Shipped,Classic Cars,S12_3891,Italy
10185,43,100,"7886,2",11/14/2003,Shipped,Classic Cars,S12_3891,USA
10196,38,100,"7232,16",11/26/2003,Shipped,Classic Cars,S12_3891,USA
10208,20,100,"3114,4",1/2/2004,Shipped,Classic Cars,S12_3891,France
10220,27,100,"5045,22",2/12/2004,Shipped,Classic Cars,S12_3891,Ireland
10231,49,100,"6952,12",3/19/2004,Shipped,Classic Cars,S12_3891,Spain
10247,27,100,"4157,73",5/5/2004,Shipped,Classic Cars,S12_3891,Finland
10272,39,100,"7962,24",7/20/2004,Shipped,Classic Cars,S12_3891,USA
10282,24,100,"3778,8",8/20/2004,Shipped,Classic Cars,S12_3891,USA
10293,45,100,8253,9/9/2004,Shipped,Classic Cars,S12_3891,Italy
